Code,isolation_forest_flag,isolation_forest_score,lof_flag,lof_score,pca_reconstruction_flag,pca_reconstruction_error,robust_mad_flag,max_abs_robust_z,n_outlier_methods_flagged,consensus_outlier_flag_2plus
727,0,-0.007976415387007885,1,1.3511510147626986,0,0.008530687784196508,1,4.889087288238131,2,1
1004,0,-0.1276103977956058,0,1.002801785216104,0,0.03174902812055799,0,1.6264479211457514,0,0
1982,0,-0.11917860749043457,0,1.050511454330206,0,0.012783243437929588,0,1.8150798618145063,0,0
1988,0,-0.15553952301641716,0,0.9952807474195259,0,0.018289597831354188,0,0.9537326199212757,0,0
2078,0,-0.13634037648333552,0,1.0172637368382913,0,0.030099920361852897,0,1.509149207475223,0,0
2256,0,-0.06087462956469836,0,1.271047232028659,0,0.03287771653544304,0,3.1606191478063503,0,0
2319,0,-0.16083975174758242,0,0.9760738934449131,0,0.023247002765787016,0,1.2284530700220486,0,0
2328,0,-0.12488797483519082,0,1.0188114622489044,0,0.016919874144195365,0,1.692059712740361,0,0
2730,0,-0.14157719310311906,0,1.0226521544320617,0,0.005385820342226331,0,1.1024584687013639,0,0
2871,0,-0.06392038623019175,1,1.3977987754111152,0,0.11399526913458873,0,2.8914109692618872,1,0
2912,0,-0.08634816710483229,0,1.1214856812882301,0,0.09603232848435886,0,2.3787223098314256,0,0
3017,0,-0.15449006463910164,0,0.9886087602342508,0,0.005322309788388122,0,1.3173027192158087,0,0
3030,1,0.003774023246204128,0,1.0965218753794017,0,0.025286635057861787,1,4.580226776518712,2,1
3031,0,-0.14919468717169015,0,1.014573882019192,0,0.009367648086200367,0,1.1373233804402623,0,0
3036,1,0.0065200078049928445,0,1.006108293448142,1,0.1860968899759282,1,5.056192990307827,3,1
3039,0,-0.1299359983113686,0,1.027907387354841,0,0.014994100160415191,0,2.38750168875521,0,0
3082,0,-0.1436508108037065,0,1.0055432315445465,0,0.05099156403223139,0,1.487872885322341,0,0
3118,0,-0.12571821344059597,0,1.0229472710659133,0,0.018682099525802003,0,2.1823149940931708,0,0
3120,0,-0.13854538588082038,0,1.0242976204037213,0,0.04089309766432971,0,1.4562009309457553,0,0
3224,0,-0.08971169106588661,0,1.0757604353796306,0,0.05546393861435793,0,2.6800625285616375,0,0
3225,0,-0.12661955250964307,0,1.0763560201152438,0,0.03292145849938854,0,2.048727357183532,0,0
3346,0,-0.13206699480746714,0,1.0428804582512106,0,0.023885489356914598,0,1.6837269785251792,0,0
3347,0,-0.14838664402297091,0,0.9749226102310015,0,0.03522084923128167,0,1.2214645819910435,0,0
3352,0,-0.057377314038764615,1,1.3616245140750975,0,0.023095749319233763,1,6.3837101233767735,2,1
3496,0,-0.14637392017062656,0,0.9824441527156816,0,0.019702473289196748,0,1.305703276254106,0,0
4004,0,-0.1228890250058719,0,1.2384609757192986,0,0.11558242924049894,1,4.021196227500373,1,0
4109,0,-0.15450525650070907,0,0.9787935987030515,0,0.031208110088793317,0,1.5274613347965125,0,0
4130,0,-0.09305777360364093,0,1.0601068175725625,0,0.02433062786916686,1,4.07942404238434,1,0
4169,0,-0.12978523985681945,0,1.0114051265585435,0,0.017422485350431376,0,1.394898155854341,0,0
4420,0,-0.1443525961734637,0,0.9914883076003596,0,0.016591846145972425,0,0.9857319861268421,0,0
4618,0,-0.13229470232975143,0,1.0196715725797716,0,0.04249423061989822,0,1.203340257426133,0,0
